,Summoner ID
0,7YHJJP_WUYWJXPp-ZpUUJxbCgezFMrWVp0bM3Nt3_gqRy-Vt
1,J0_ZrBr5sQrZ0MEFSTnOnNmixOXDJM_9geAjoxCmvBjuElZt
2,5lp2Ix0uBENPUBVI_edc23DaEdgb6TRS4futckdzs6nTYpJK
3,v8XzwfejTG7sdJZVeLAxFcKwPUJAfrw-CZKDJwgVn_neeTP5
4,WsV-TItLNkPb_JmlF07lGc7hEmi-o0Rpisnwqrp83t3rpW5H
5,4A8hhc3FQCiLIFtqwKzVg6c-HO3gAIOfV4ydIwaa_hj5X3W4
6,Y9P5YoUUrUWL3xmJG6B5w40qk-LRSaLIL4yGFh-4tCkbMOcS
7,Ba1RsBmP9GbbilvAeWSKPcg4BgouFH0J3TQ0sqx-lQ9AAMVv
8,h3Nr5g6jJRZqYhQHbDs2LR5aJe-2Y_V2cjt49pz-G2dpZIuM
9,EWxQ_U2I5eZqV_VcnTleB5eJR1R9W0AwK2CJelKks64uub4i
10,tply-CPHR62yM9AUy1MznttN2LFIxP7LRq5BWwu_WpK-xBjh
11,q5kTbgjjpicmlz59nk3uG4YCpGYjymv_JssoqblLhYv_1WBl
12,sc0VfkDOPZWv_AdqtRfkk48TkHpg7OYKRhDZitN7qdcmfFW3
13,ZRIOVIfjLdgIVM_RYU0EnqQkUvQq5aIVh-YGIv2szPi6_ett
14,N610yOF6e85fE6c12eS0k2Bvo-_bXnp_yCOjTXhJKWX3jQKc
15,BGzKmpMjFCcaNC8ia9IU8-xd0qmO-BSScLQBc_Ygq7i3_5lM
16,aSDiiIXwUiSvyfL7UOKbTndT_oBkdJP2jJj3c0N7y2zN6rwT
17,SwpdOSQ6MCQls04nXqN8Fwa4m7YpzT0uCdjHcvM5croXeLA6
18,VApbkp68l3g5Rf7TORze00EVBokdDfyzETBNFyRDPCkyMX11
19,8BfI0F4B3JFvYuzCrs9p9KCIx-xlx6G43jDsNgrgIMvL0FLB
20,xdjAI0XrSdjYbXZuYyaroTaarUp4U3tStr7mhzJ_ML5tZbuv
21,abBPq7DP1f06fyJIrCFcKMTyDyayVp34KjkIyDa96AZrPUnn
22,dCY9TaeQzsv9zteQEQ_FewXimjF46Q76wGNtceAs_IyKScDU
23,DCS5YH72C68LWTXcFcYD5XLShKyxy-yOdePglT98_VUNQC2a
24,5wFFlqyOBk6ply5bDzpgV-WaEVIzWes0IekCZbfo28-QSLUw
25,JlnDIomf7LF5I8KZvi4GUWKqcVKPAAkCveTZleHiKs9ZELa_
26,v39NTAKoIWOzpdoK-P75IWJfnirL7akOKPfnoCU3vqcqvebs
27,W7gZrrXRYDH_Hhuf3VRry6-c5I5MMCSXpsS5Mi8o1su9sSJa
28,2dacPPAxYBEhN-VLuoKXNjOGui2MpWetpEHX2niqCqPGvNBc
29,z12eXlUNLBvZFX6dysqFtJTS83iGU1Rokg8S10zWYxMI-_9i
30,1ndX10uCSyCo_CAFNgqXfiaRtYCVq3fZc-fP4f7smlu28UZF
31,cY08r_zou7VGjjvY6_xW3jHjh6gIeswTbBvG4ZJF8-ZzKm1-
32,jWDL3_Te5RiwLM2EOnx9uPq7rrgtKEOsQfaSpOcDYAij-D0c
33,ahZbYNgf5L17yGby2jbjuZBFcmEXg90cPTpILkFRsuG3zVHe
34,HhzZ5LNCWi7Bo6yFd-T0GqG-cjwBk9879WZreAHIZ5r7BQ-g
35,575uMBrL0LKf-kSWHvTZ4FN6nUR7L3HAEXjOXN-ROkUOEdUO
36,ADDbqrGHQQdNV52E9iIlI1_-0BgttE5T1NpumKPy0J9A9tvO
37,gVjeRAbeDWkEfVCD3yR1rnjgqHlkwWYk1vD7DISgBVhQdof1
38,K4Cc5Yi1K5EZ2dG2S69xHcbJD1S5WS01Li-IidUVwTn9LmkD
39,NaN1XyOLepMRQujQgFkniOnxxI-qjBGWzWjeK66HZerBmvmk
40,k97QuRPUlFv69BYG2gQU76p1kyC9jw6ndtPaSyiHycpBBcEm
41,a3eDq3HYqW2kXicS6zwQJzF1FsFJwV0262lMkaLIqxvZ0wYR
42,3wzL93HD1h0FZ-7tI3peuyqS_0cmSTxn-jDs5ljjVoBFuJLY
43,GM0burb18VG8hztEBPQ_k-yEYrifDCZoUbJzQBCjxMEme1ZT
